#NEW_CODE	OLD_CODE	NUM_CODE	NAME	TICKETING_NAME	CODE
NULL	*A	0	STAR ALLIANCE	NULL	*A
NULL	*O	0	ONEWORLD	NULL	*O
NULL	*Q	0	THE QUALIFLYER GROUP	NULL	*Q
NULL	*S	0	SKYTEAM	NULL	*S
NULL	0A	0	UNDEFINED	NULL	0A
NULL	0B	0	UNDEFINED	NULL	0B
NULL	0C	0	CATOVAIR	CATOVAIR	0C
DWT	0D	779	DARWIN AIRLINE	DARWIN	0D
XYS	0E	0	AMADEUS PDF 0E	NULL	0E
NULL	0F	0	UNDEFINED	NULL	0F
NULL	0G	0	GHADAMES AIR TRANSPORT	NULL	0G
NULL	0H	0	UNDEFINED	NULL	0H
NULL	0I	0	UNDEFINED	NULL	0I
NULL	0J	0	UNDEFINED	NULL	0J
KRT	0K	0	AIRCOMPANY KOKSHETAU	NULL	0K
NULL	0L	0	UNDEFINED	NULL	0L
NULL	0M	0	UNDEFINED	NULL	0M
NULL	0N	0	UNDEFINED	NULL	0N
NULL	0O	0	STA TRAVEL	STA TRAVEL	0O
NULL	0P	840	PALAU ASIA PACIFIC AIR	NULL	0P
NULL	0Q	0	UNDEFINED	NULL	0Q
NULL	0R	0	UNDEFINED	NULL	0R
NULL	0S	0	UNDEFINED	NULL	0S
NULL	0T	0	UNDEFINED	NULL	0T
NULL	0U	0	UNDEFINED	NULL	0U
NULL	0V	368	VIETNAM AIR SERVICE	NULL	0V
NULL	0W	0	W CARIBBEAN COSTA RICA	NULL	0W
NULL	0X	0	UNDEFINED	NULL	0X
NULL	0Z	0	UNDEFINED	NULL	0Z
AGT	1A	790	AMADEUS	AMADEUS	1A
NULL	1B	0	ABACUS	ABACUS	1B
NULL	1C	0	EDS INFORMATION BUSINESS	GEMINI	1C
NULL	1D	0	RADDIX SOLUTIONS INTL	NULL	1D
NULL	1E	252	TRAVELSKY TECHNOLOGY LTD	CIVIL CHINA	1E
TTF	1F	788	INFINI TRAVEL INFORMATIO	INFINI TRAVEL	1F
NULL	1G	0	TRAVELPORT GLOBAL DISTRIBUTION	GALILEO	1G
NULL	1H	446	SIRENA-TRAVEL	NULL	1H
NULL	1I	0	NETJETS AVIATION	NULL	1I
NULL	1J	0	AXESS INTERNATIONAL	AXESS INTL	1J
NULL	1K	0	SUTRA INC.	SOUTHERN	1K
NULL	1L	0	NAVITAIRE OPEN SKIES	NULL	1L
NULL	1M	0	SIRENA JSC	SERTEL	1M
NULL	1N	892	NAVITAIRE NEW SKIES	NULL	1N
NULL	1O	0	PHOENIX SYSTEMS DERTOURS	NULL	1O
WSP	1P	523	WORLDSPAN	WORLDSPAN	1P
NULL	1Q	0	JOINT-STOCK COMPANY.ITAL	NULL	1Q
NULL	1R	0	BIRD INFORMATION SYSTEMS	NULL	1R
NULL	1S	0	SABRE	SABRE	1S
NULL	1T	0	EAST-LINE JSC	NULL	1T
NULL	1U	0	ITA SOFTWARE	NULL	1U
NULL	1V	588	GALILEO INTERNATIONAL	COVIA	1V
NULL	1W	0	SABRE	SABRE	1W
NULL	1X	0	BRANSON AIR	GABRIEL	1X
NULL	1Y	0	ELECTRONIC DATA SYSTEMS	NULL	1Y
APD	1Z	0	FANTASIA INFO NETWORK LT	ASIA PACIFIC	1Z
DBB	2A	0	DEUTSCHE BAHN AG	DEUTSCHE BAHN	2A
NULL	2B	441	AK BARS AERO	AK BARS AERO	2B
NULL	2C	0	SNCF	NULL	2C
NULL	2D	0	AMADEUS PDF 2D	NULL	2D
EIX	2E	0	SMOKEY BAY AIR	EI AIR EXPORT	2E
FTA	2F	517	FRONTIER FLYING SERVICE	FRONTIER	2F
NULL	2G	0	NORTHWEST SEAPLANES	NULL	2G
NULL	2H	56	THALYS INTERNATIONAL	NULL	2H
SRU	2I	156	STAR PERU	NULL	2I
VBW	2J	226	AIR BURKINA	AIR BURKINA	2J
GLG	2K	547	AEROLINEAS GALAPAGOS	AEROGAL	2K
OAW	2L	102	HELVETIC AIRWAYS	2L/HELVETIC	2L
MDV	2M	860	MOLDAVIAN AIRLINES	MOLDAVIAN AIR	2M
NTJ	2N	121	NEXTJET	NEXTJET	2N
RNE	2O	0	REDEMPTION	NULL	2O
GAP	2P	0	AIR PHILIPPINES	AIR PHILIPPIN	2P
ETS	2Q	0	AVITRANS NORDIC	NULL	2Q
