AAA,ANAA,ANAA,ANAA/PF,AAA,Y,NULL,PF,PACIF,ITC3,PF087,-145.5,-17.42,1,N
AAB,ARRABURY,ARRABURY,ARRABURY/QL/AU,AAB,Y,QL,AU,AUSTL,ITC3,AU131,141,-26.75,2,N
AAC,AL ARISH,AL ARISH,AL ARISH/EG,AAC,Y,NULL,EG,AFRIC,ITC2,EG044,33.8,31.13,NULL,N
AAD,AD DABBAH,AD DABBAH,AD DABBAH/SD,AAD,Y,NULL,SD,AFRIC,ITC2,SD172,30.95,18.05,NULL,N
AAE,ANNABA,ANNABA,ANNABA/DZ:LES SALINES,AAE,Y,NULL,DZ,AFRIC,ITC2,DZ,7.817,36.83,3,N
AAF,APALACHICOLA,APALACHICOLA,APALACHICOLA/FL/US:MUNICIPAL,AAF,Y,FL,US,NAMER,ITC1,US105,-85.03,29.73,NULL,N
AAG,ARAPOTI,ARAPOTI,ARAPOTI/PR/BR,AAG,Y,PR,BR,SAMER,ITC1,BR015,-43.27,-22.87,NULL,N
AAH,AACHEN,AACHEN,AACHEN/DE:MERZBRUCK,AAH,Y,NULL,DE,EUROP,ITC2,DE040,6.133,50.75,NULL,N
AAI,ARRAIAS,ARRAIAS,ARRAIAS/TO/BR,AAI,Y,TO,BR,SAMER,ITC1,BR016,-46.93,-12.92,5,N
AAJ,AWARADAM,AWARADAM,AWARADAM/SR:CAYANA AIRSTRIP,AAJ,Y,NULL,SR,SAMER,ITC1,SR,-55.37,3.9,NULL,N
AAK,ARANUKA,ARANUKA,ARANUKA/KI,AAK,Y,NULL,KI,AUSTL,ITC3,KI069,174,0.2167,NULL,N
AAL,AALBORG,AALBORG,AALBORG/DK,AAL,Y,NULL,DK,EUROP,ITC2,DK041,9.933,57.05,6,N
AAM,MALA MALA,MALA MALA,MALA MALA/ZA,AAM,Y,NULL,ZA,AFRIC,ITC2,ZA,31.53,-24.8,NULL,N
AAN,AL AIN,AL AIN,AL AIN/AE,AAN,Y,NULL,AE,MEAST,ITC2,AE,55.75,24.25,7,N
AAO,ANACO,ANACO,ANACO/VE,AAO,Y,NULL,VE,SAMER,ITC1,VE,-64.47,9.417,8,N
AAP,HOUSTON ANDRAU,HOUSTON ANDRAU,HOUSTON/TX/US:ANDRAU AIRPARK,HOU,Y,TX,US,NAMER,ITC1,US107,-95.3,29.65,NULL,N
AAQ,ANAPA,ANAPA,ANAPA/RU,AAQ,Y,NULL,RU,EURAS,ITC2,RU130,37.32,44.9,NULL,N
AAR,AARHUS,AARHUS,AARHUS/DK:AARHUS,AAR,Y,NULL,DK,EUROP,ITC2,DK041,10.62,56.3,10,N
AAS,APALAPSILI,APALAPSILI,APALAPSILI/ID,AAS,Y,NULL,ID,SEASI,ITC3,ID063,139.3,-3.917,NULL,N
AAT,ALTAY,ALTAY,ALTAY/CN,AAT,Y,NULL,CN,ASIA,ITC3,CN035,89.5,43.93,NULL,N
AAU,ASAU,ASAU,ASAU/WS,AAU,Y,NULL,WS,AUSTL,ITC3,WS,-172.6,-13.45,11,N
AAV,ALAH,ALAH,ALAH/PH,AAV,Y,NULL,PH,PACIF,ITC3,PH,124.8,6.333,12,N
AAW,ABBOTTABAD,ABBOTTABAD,ABBOTTABAD/PK,AAW,Y,NULL,PK,ASIA,ITC3,PK163,73.25,34.2,NULL,N
AAX,ARAXA,ARAXA,ARAXA/MG/BR,AAX,Y,MG,BR,SAMER,ITC1,BR015,-46.92,-19.57,13,N
AAY,AL GHAYDAH,AL GHAYDAH,AL GHAYDAH/YE,AAY,Y,NULL,YE,MEAST,ITC2,YE,52.18,16.2,14,N
AAZ,QUETZALTENANGO,QUETZALTENANGO,QUETZALTENAN/GT:QUETZALTENANGO,AAZ,Y,NULL,GT,CAMER,ITC1,GT119,-91.5,14.86,NULL,N
ABA,ABAKAN,ABAKAN,ABAKAN/RU,ABA,Y,NULL,RU,EURAS,ITC2,RU143,91.43,53.72,16,N
ABB,ABINGDON,ABINGDON,ABINGDON/GB:RAF STATION,ABB,Y,NULL,GB,EUROP,ITC2,GB053,-0.3,51.53,NULL,N
ABC,ALBACETE,ALBACETE,ALBACETE/ES:LOS LLANOS,ABC,Y,NULL,ES,EUROP,ITC2,ES045,-15.18,38.95,NULL,N
ABD,ABADAN,ABADAN,ABADAN/IR,ABD,Y,NULL,IR,MEAST,ITC2,IR120,48.23,30.37,18,N
ABE,ALLENTOWN BTHLEHM,ALLENTOWN BTHLE,ALLENTOWN BTHLEHM/PA/US,ABE,Y,PA,US,NAMER,ITC1,US105,-75.43,40.65,NULL,N
ABF,ABAIANG,ABAIANG,ABAIANG/KI,ABF,Y,NULL,KI,AUSTL,ITC3,KI069,172.8,1.417,20,N
ABG,ABINGDON,ABINGDON,ABINGDON/QL/AU,ABG,Y,QL,AU,AUSTL,ITC3,AU131,143.2,-17.67,21,N
ABH,ALPHA,ALPHA,ALPHA/QL/AU,ABH,Y,QL,AU,AUSTL,ITC3,AU131,146.6,-23.7,22,N
ABI,ABILENE,ABILENE,ABILENE/TX/US:ABILENE MNPL,ABI,Y,TX,US,NAMER,ITC1,US107,-99.68,32.42,NULL,N
ABJ,ABIDJAN,ABIDJAN,ABIDJAN/CI:F HOUPHOUET BOIGNY,ABJ,Y,NULL,CI,AFRIC,ITC2,CI,-3.933,5.25,NULL,N
ABK,KABRI DAR,KABRI DAR,KABRI DAR/ET,ABK,Y,NULL,ET,AFRIC,ITC2,ET,44.27,6.733,25,N
ABL,AMBLER,AMBLER,AMBLER/AK/US,ABL,Y,AK,US,NAMER,ITC1,US111,-157.8,67.1,26,N
ABM,BAMAGA,BAMAGA,BAMAGA/QL/AU,ABM,Y,QL,AU,AUSTL,ITC3,AU131,142.4,-10.87,27,N
ABN,ALBINA,ALBINA,ALBINA/SR,ABN,Y,NULL,SR,SAMER,ITC1,SR,-54.05,5.483,28,N
ABO,ABOISSO,ABOISSO,ABOISSO/CI,ABO,Y,NULL,CI,AFRIC,ITC2,CI,-3.2,5.467,NULL,N
ABP,ATKAMBA,ATKAMBA,ATKAMBA/PG,ABP,Y,NULL,PG,AUSTL,ITC3,PG,141.1,-6.067,NULL,N
ABQ,ALBUQUERQUE,ALBUQUERQUE,ALBUQUERQUE/NM/US:INTL,ABQ,Y,NM,US,NAMER,ITC1,US108,-106.6,35.05,29,N
ABR,ABERDEEN,ABERDEEN,ABERDEEN/SD/US:ABERDEEN MNPL,ABR,Y,SD,US,NAMER,ITC1,US107,-98.43,45.45,30,N
