#office_id	name
FAR1S2106	ACO US
MILIG28AG	UVET VOLAGRATIS - INTERNET
NYC1S21DP	ACO US
NYC1S21BS	ACO US
LAX1S217Q	ACO US
LAX1S223A	ACO US
NYC1S210S	ACO US
SNA7A210S	ACO US
ZAGH138AB	ADRIATICA.NET ONLINE
PMII12004	API LOGITRAVEL
MADML2001	API MUCHOVIAJE
GLABR3101	BARRHEAD TRAVEL
BIOEK2001	DAMEPISTA.COM
CPHDA28AB	DANSK FRI FERIE A/S - API
MMAFX38OR	FLEX TOURS
CPHS128AA	FLYBILLET.DK A/S - API
AGHS128FS	FLYGSTOLEN AB - API
DUBIE38AF	GLOBE 2 API
MMAS128IN	INCA TOURS AB
HOU1S2112	ACO US
GCIU123WF	JUST THE FLIGHT
SAOAL3102	KONTAK VIAGENS E TURISMO LTDA
DELWI2202	MAKEMYTRIP.COM
NYCMI2101	MRT
LAX1S213J	NORDIQUE TOURS
HELSG38SR	OY SRG FINLAND AB
SYDQF0404	QANTAS HOLIDAYS INTL SYDNEY
AMDVS3217	SAHAJANAND WORLD TRAVELS
LONHY28SS	SUNSHINE.CO.UK
MADSG38SR	SUPERSAVER TRAVEL
AMSSG38SR	SUPERSAVER / SEAT 24
DELWI2216	TRAVEL BOUTIQUE
MUCOD21HF	TRAVEL OVERLAND FLUGR. GMBH & CO
BOMZB28AA	TRAVELOCITY.COM PVT LIMITED
LAX1S212V	ULTIMATE FARES
LEJL1218F	UNISTER GMBH
MMAFX38AC	VNM TRAVEL AB - API
BUHPD28AQ	VOLA.RO STUDENT ADVENTURE
SYDZB28AB	Zuji
MAFAG31GZ	1-800-TRAVELER, LLC
MIAPI2OCG	1A BRANDED WWW SITE
DEN1S2122	1TRAVEL.COM
ATHGR28AA	24 HOURS TOURISM TRAVEL S.A.
YVRC438AG	2DOBIZ.COM
LOSN82802	5 STAR TRAVEL LIMITED
MIA1S38BL	5408 ALIX ARGUELLES TEST SITE
ISTLL28AF	7 TUR
MZLZ128AA	A DESCUBRIR TRAVEL & ADVENTURE
MIA1S38AF	A PLACE TO REMEMBER TRAVEL & TOURS
GSO1S38AB	A WAY TO GO TRAVEL
LIMPE28AV	A.M.G VIAJES S.A.
FRAL128EY	A-B TEST OFFICE
BCNAH2696	ABELUX
MILIG38AA	ACENTRO TURISMO
MILIG3102	ACENTRO TURISMO
