TimeZoneId	GMT offset 1. Jan 2012	DST offset 1. Jul 2012	rawOffset (independant of DST)
Africa/Abidjan	0.0	0.0	0.0
Africa/Accra	0.0	0.0	0.0
Africa/Addis_Ababa	3.0	3.0	3.0
Africa/Algiers	1.0	1.0	1.0
Africa/Asmara	3.0	3.0	3.0
Africa/Bamako	0.0	0.0	0.0
Africa/Bangui	1.0	1.0	1.0
Africa/Banjul	0.0	0.0	0.0
Africa/Bissau	0.0	0.0	0.0
Africa/Blantyre	2.0	2.0	2.0
Africa/Brazzaville	1.0	1.0	1.0
Africa/Bujumbura	2.0	2.0	2.0
Africa/Cairo	2.0	2.0	2.0
Africa/Casablanca	0.0	0.0	0.0
Africa/Ceuta	1.0	2.0	1.0
Africa/Conakry	0.0	0.0	0.0
Africa/Dakar	0.0	0.0	0.0
Africa/Dar_es_Salaam	3.0	3.0	3.0
Africa/Djibouti	3.0	3.0	3.0
Africa/Douala	1.0	1.0	1.0
Africa/El_Aaiun	0.0	0.0	0.0
Africa/Freetown	0.0	0.0	0.0
Africa/Gaborone	2.0	2.0	2.0
Africa/Harare	2.0	2.0	2.0
Africa/Johannesburg	2.0	2.0	2.0
Africa/Juba	3.0	3.0	3.0
Africa/Kampala	3.0	3.0	3.0
Africa/Khartoum	3.0	3.0	3.0
Africa/Kigali	2.0	2.0	2.0
Africa/Kinshasa	1.0	1.0	1.0
Africa/Lagos	1.0	1.0	1.0
Africa/Libreville	1.0	1.0	1.0
Africa/Lome	0.0	0.0	0.0
Africa/Luanda	1.0	1.0	1.0
Africa/Lubumbashi	2.0	2.0	2.0
Africa/Lusaka	2.0	2.0	2.0
Africa/Malabo	1.0	1.0	1.0
Africa/Maputo	2.0	2.0	2.0
Africa/Maseru	2.0	2.0	2.0
Africa/Mbabane	2.0	2.0	2.0
Africa/Mogadishu	3.0	3.0	3.0
Africa/Monrovia	0.0	0.0	0.0
Africa/Nairobi	3.0	3.0	3.0
Africa/Ndjamena	1.0	1.0	1.0
Africa/Niamey	1.0	1.0	1.0
Africa/Nouakchott	0.0	0.0	0.0
Africa/Ouagadougou	0.0	0.0	0.0
Africa/Porto-Novo	1.0	1.0	1.0
Africa/Sao_Tome	0.0	0.0	0.0
Africa/Tripoli	2.0	2.0	2.0
Africa/Tunis	1.0	1.0	1.0
Africa/Windhoek	2.0	1.0	1.0
America/Adak	-10.0	-9.0	-10.0
America/Anchorage	-9.0	-8.0	-9.0
America/Anguilla	-4.0	-4.0	-4.0
America/Antigua	-4.0	-4.0	-4.0
America/Araguaina	-3.0	-3.0	-3.0
America/Argentina/Buenos_Aires	-3.0	-3.0	-3.0
America/Argentina/Catamarca	-3.0	-3.0	-3.0
America/Argentina/Cordoba	-3.0	-3.0	-3.0
America/Argentina/Jujuy	-3.0	-3.0	-3.0
America/Argentina/La_Rioja	-3.0	-3.0	-3.0
America/Argentina/Mendoza	-3.0	-3.0	-3.0
America/Argentina/Rio_Gallegos	-3.0	-3.0	-3.0
America/Argentina/Salta	-3.0	-3.0	-3.0
America/Argentina/San_Juan	-3.0	-3.0	-3.0
America/Argentina/San_Luis	-3.0	-3.0	-4.0
America/Argentina/Tucuman	-3.0	-3.0	-3.0
America/Argentina/Ushuaia	-3.0	-3.0	-3.0
America/Aruba	-4.0	-4.0	-4.0
America/Asuncion	-3.0	-4.0	-4.0
America/Atikokan	-5.0	-5.0	-5.0
America/Bahia	-2.0	-3.0	-3.0
America/Bahia_Banderas	-6.0	-5.0	-6.0
America/Barbados	-4.0	-4.0	-4.0
America/Belem	-3.0	-3.0	-3.0
America/Belize	-6.0	-6.0	-6.0
America/Blanc-Sablon	-4.0	-4.0	-4.0
America/Boa_Vista	-4.0	-4.0	-4.0
America/Bogota	-5.0	-5.0	-5.0
America/Boise	-7.0	-6.0	-7.0
America/Cambridge_Bay	-7.0	-6.0	-7.0
America/Campo_Grande	-3.0	-4.0	-4.0
America/Cancun	-6.0	-5.0	-6.0
America/Caracas	-4.5	-4.5	-4.5
America/Cayenne	-3.0	-3.0	-3.0
America/Cayman	-5.0	-5.0	-5.0
America/Chicago	-6.0	-5.0	-6.0
America/Chihuahua	-7.0	-6.0	-7.0
America/Costa_Rica	-6.0	-6.0	-6.0
America/Cuiaba	-3.0	-4.0	-4.0
America/Curacao	-4.0	-4.0	-4.0
