freat^420000^La Forest^Desserte Voyageur^48.4265^-4.30731
freas^420000^Kerhuon^Desserte Fret-Desserte Voyageur-Infrastructure^48.40931^-4.3882
frbes^420000^Brest^Desserte Fret-Desserte Voyageur-Infrastructure^48.38784^-4.48041
frxvt^439000^Vitré^Desserte Fret-Desserte Voyageur-Infrastructure^48.12266^-1.21216
frdxk^441000^Pontchaillou^Desserte Voyageur^48.11864^-1.69122
frdwd^441000^Betton^Desserte Voyageur^48.18142^-1.6342
frdxl^441000^Chevaigné^Desserte Voyageur^48.20895^-1.6302
fredk^441000^St-Germain-sur-Ille^Desserte Voyageur^48.23955^-1.65358
fredm^441000^Montreuil-sur-Ille^Desserte Voyageur-Infrastructure^48.3072^-1.6741
fredo^441000^Combourg^Desserte Voyageur^48.41607^-1.72815
fredp^441000^Bonnemain^Desserte Voyageur^48.47628^-1.76557
fr12^441000^Dol^Desserte Fret-Desserte Voyageur-Infrastructure^48.54445^-1.75037
fredq^441000^La Fresnais^Desserte Voyageur^48.5937^-1.84296
fr14^441000^La Gouesnière-Cancale^Desserte Voyageur^48.61462^-1.90596
frdwi^443000^La Brohinière^Desserte Fret-Desserte Voyageur-Infrastructure^48.21367^-2.11046
frsbk^445000^St-Brieuc^Desserte Fret-Desserte Voyageur-Infrastructure^48.50797^-2.76497
fr17^446000^Plouaret^Desserte Voyageur-Infrastructure^48.60652^-3.46669
fr18^446000^Kerauzern^Non exploitée^48.65934^-3.44565
fr19^447000^Taulé-Henvic^Non exploitée^48.61683^-3.89878
frebo^447000^Henvic^Non exploitée^48.62378^-3.92799
frebq^447000^St-Pol-de-Léon^Desserte Voyageur^48.67642^-3.98677
frebr^447000^Roscoff^Desserte Voyageur-Infrastructure^48.72067^-3.98313
frdwq^463000^Messac-Guipry^Desserte Voyageur-Infrastructure^47.82223^-1.81796
frdxh^466000^Martigné-Ferchaud^Desserte Voyageur^47.83195^-1.31408
frdxg^466000^Retiers^Desserte Fret-Desserte Voyageur-Infrastructure^47.91319^-1.3902
frdxf^466000^Le Theil-de-Bretagne^Desserte Voyageur^47.91884^-1.43191
frdxe^466000^Janzé^Desserte Fret-Desserte Voyageur-Infrastructure^47.95551^-1.49762
frdxd^466000^Corps-Nuds^Desserte Voyageur^47.98512^-1.57545
frdwb^466000^Vern^Desserte Voyageur-Infrastructure^48.047^-1.59637
frdwe^468000^St-Jacques-de-la-Lande^Desserte Fret-Desserte Voyageur-Infrastructure^48.06765^-1.71358
fr31^468000^Ker-Lann-Bruz^Desserte Voyageur^48.04344^-1.74059
frdwc^468000^Bruz^Desserte Voyageur-Infrastructure^48.02849^-1.75162
fr33^468000^Guichen-Bourg-des-Comptes^Desserte Voyageur^47.93523^-1.76018
frdwo^468000^St-Senoux-Pléchâtel^Desserte Voyageur^47.89767^-1.76621
frecs^473000^Penthièvre^Desserte Voyageur^47.5581^-3.13322
frecm^473000^L'Isthme^Desserte Voyageur^47.54611^-3.13413
frect^473000^Kerhostin^Desserte Voyageur^47.53636^-3.13653
frecu^473000^St-Pierre-Quiberon^Desserte Voyageur^47.52087^-3.13873
frecv^473000^Quiberon^Desserte Voyageur-Infrastructure^47.48546^-3.11843
fr40^474000^Pluvigner^Non exploitée^47.76581^-3.02154
fr41^474000^Lambel-Camors^Non exploitée^47.83293^-3.03385
fr42^474000^Baud^Desserte Fret-Infrastructure^47.87242^-3.07399
fr43^474000^St-Nicolas-des-Eaux^Infrastructure^47.98367^-3.03999
freda^474000^Pontivy^Desserte Fret-Infrastructure^48.06182^-2.96606
frsbk^475000^St-Brieuc^Desserte Fret-Desserte Voyageur-Infrastructure^48.50797^-2.76497
fr45^475000^St-Julien (Côtes-d'Armor)^Desserte Voyageur-Infrastructure^48.45222^-2.81355
frdym^475000^Plaintel^Desserte Fret-Desserte Voyageur-Infrastructure^48.4353^-2.82242
frdyn^475000^Quintin^Desserte Fret-Desserte Voyageur-Infrastructure^48.39764^-2.89172
frdyp^475000^Le Pas^Desserte Voyageur^48.36653^-2.8776
frdyq^475000^Ploeuc-L'Hermitage^Desserte Voyageur^48.3302^-2.82853
frdyr^475000^Uzel^Desserte Fret-Desserte Voyageur-Infrastructure^48.28172^-2.80843
frdys^475000^La Motte^Desserte Voyageur^48.22586^-2.75488
frdyt^475000^Loudéac^Desserte Fret-Desserte Voyageur-Infrastructure^48.18032^-2.76287
freda^475000^Pontivy^Desserte Fret-Infrastructure^48.06182^-2.96606
frrsp^476000^Rosporden^Desserte Fret-Desserte Voyageur-Infrastructure^47.96029^-3.83316
fruip^477000^Quimper^Desserte Fret-Desserte Voyageur-Infrastructure^47.99438^-4.0932
fruip^478000^Quimper^Desserte Fret-Desserte Voyageur-Infrastructure^47.99438^-4.0932
frggp^485000^Guingamp^Desserte Fret-Desserte Voyageur-Infrastructure^48.55623^-3.14293
frdzf^485000^Carnoët-Locarn^Desserte Fret-Desserte Voyageur-Infrastructure^48.34115^-3.49046
frdyz^485000^Carhaix^Desserte Fret-Desserte Voyageur-Infrastructure^48.27792^-3.56253
frggp^486000^Guingamp^Desserte Fret-Desserte Voyageur-Infrastructure^48.55623^-3.14293
frdzy^486000^Gourland^Desserte Voyageur^48.56098^-3.16691
freaa^486000^Brélidy-Plouëc^Desserte Voyageur-Infrastructure^48.66884^-3.19593
freae^486000^Paimpol^Desserte Voyageur-Infrastructure^48.77733^-3.04557
frase^26000^Coussey^Desserte Fret-Infrastructure^48.40642^5.68594
frnch^26000^Neufchâteau^Desserte Fret-Desserte Voyageur-Infrastructure^48.35714^5.68936
fr63^26000^Liffol-le-Grand^Infrastructure^48.3138^5.58656
fr64^26000^Prez-sous-Lafauche^Non exploitée^48.29072^5.51478
fr65^26000^St-Blin^Non exploitée^48.26672^5.43781
fr66^26000^Manois^Desserte Fret-Infrastructure^48.27412^5.36453
fr67^26000^Rimaucourt^Desserte Fret-Infrastructure^48.26386^5.33295
fr68^26000^Andelot (Haute-Marne)^Infrastructure^48.24485^5.30857
fr69^26000^Chantraines^Non exploitée^48.22056^5.24633
fr70^26000^Briaucourt^Non exploitée^48.21202^5.20689
fraup^26000^Bologne^Desserte Fret-Desserte Voyageur-Infrastructure^48.19949^5.13593
fr72^20000^Jonchery^Non exploitée^48.13305^5.09021
fr73^20000^Marault^Non exploitée^48.1818^5.11306
fraup^20000^Bologne^Desserte Fret-Desserte Voyageur-Infrastructure^48.19858^5.13426
frawi^20000^Vraincourt-Viéville^Desserte Voyageur^48.23707^5.12384
frauq^20000^Vignory^Desserte Fret-Desserte Voyageur-Infrastructure^48.27047^5.12419
fr76^20000^Froncles-Buxières^Desserte Voyageur^48.29664^5.1416
fraut^20000^Gudmont^Desserte Fret-Desserte Voyageur-Infrastructure^48.33749^5.14085
frauu^20000^Donjeux^Desserte Voyageur^48.36593^5.14842
frbgm^20000^Fronville-St-Urbain^Desserte Voyageur^48.40132^5.15608
fr80^20000^Joinville (Haute-Marne)^Desserte Fret-Desserte Voyageur-Infrastructure^48.44474^5.1443
frbgp^20000^Curel^Non exploitée^48.48966^5.13094
frbgq^20000^Chevillon^Desserte Fret-Desserte Voyageur-Infrastructure^48.52427^5.11183
frbgr^20000^Bayard^Desserte Fret-Desserte Voyageur-Infrastructure^48.5515^5.07629
fr84^20000^Eurville-Bienville^Desserte Fret-Desserte Voyageur-Infrastructure^48.5829^5.04489
fr85^20000^Ancerville-Guë^Desserte Fret-Infrastructure^48.617^5.00979
fr86^20000^Marnaval^Non exploitée^48.6287^4.99202
frbgj^20000^St-Dizier^Desserte Fret-Desserte Voyageur-Infrastructure^48.64278^4.9472
frbgw^20000^Villiers-en-Lieu^Desserte Voyageur^48.66334^4.8975
frbgx^20000^St-Eulien^Desserte Voyageur-Infrastructure^48.67821^4.86814
fr90^20000^Vouillers^Non exploitée^48.68745^4.84986
fr91^20000^St-Vrain^Non exploitée^48.69788^4.8291
frbgj^19000^St-Dizier^Desserte Fret-Desserte Voyageur-Infrastructure^48.64168^4.95105
fr92^18000^Doulevant-le-Château^Non exploitée^48.37569^4.92773
fr93^18000^Dommartin-le-St-Père^Non exploitée^48.39518^4.91832
fr94^18000^Courcelles-sur-Blaise^Non exploitée^48.41433^4.93487
fr95^18000^Dommartin-le-Franc^Non exploitée^48.42964^4.95442
fr96^18000^Vaux-Montreuil^Non exploitée^48.47387^4.96525
fr97^18000^Brousseval^Non exploitée^48.48947^4.96192
fr98^18000^Wassy^Non exploitée^48.49408^4.94237
frdwp^468000^Pléchâtel^Desserte Voyageur^47.87172^-1.77619
frdwq^468000^Messac-Guipry^Desserte Voyageur-Infrastructure^47.82223^-1.81796
frdwr^468000^Fougeray-Langon^Desserte Voyageur^47.72993^-1.85147
frdws^468000^Beslé^Desserte Voyageur-Infrastructure^47.69896^-1.86999
frdwt^468000^Massérac^Desserte Voyageur^47.67471^-1.9138
frxrn^468000^Redon^Desserte Fret-Desserte Voyageur-Infrastructure^47.65228^-2.08852
frxrn^470000^Redon^Desserte Fret-Desserte Voyageur-Infrastructure^47.65228^-2.08852
fr104^470000^St-Jacut^Non exploitée^47.67896^-2.18828
fredg^470000^Malansac^Desserte Voyageur^47.67577^-2.29519
fredf^470000^Questembert^Desserte Fret-Desserte Voyageur-Infrastructure^47.68308^-2.45011
fr107^470000^Elven^Non exploitée^47.70161^-2.62937
frvne^470000^Vannes^Desserte Fret-Desserte Voyageur-Infrastructure^47.66482^-2.75192
fredc^470000^Ste-Anne^Desserte Voyageur^47.67837^-2.9611
frxuy^470000^Auray^Desserte Fret-Desserte Voyageur-Infrastructure^47.68002^-3.00001
freci^470000^Landévant^Desserte Voyageur^47.7595^-3.12398
freck^470000^Hennebont^Desserte Voyageur-Infrastructure^47.7992^-3.28598
frlrt^470000^Lorient^Desserte Fret-Desserte Voyageur-Infrastructure^47.75555^-3.36564
frecn^470000^Gestel^Desserte Voyageur-Infrastructure^47.80296^-3.44298
freco^470000^Quimperlé^Desserte Fret-Desserte Voyageur-Infrastructure^47.86922^-3.55259
freaq^470000^Bannalec^Desserte Fret-Desserte Voyageur-Infrastructure^47.9268^-3.70603
frrsp^470000^Rosporden^Desserte Fret-Desserte Voyageur-Infrastructure^47.96029^-3.83316
fr117^470000^St-Yvy^Non exploitée^47.97524^-3.92683
fruip^470000^Quimper^Desserte Fret-Desserte Voyageur-Infrastructure^47.99438^-4.0932
fr118^470000^Quéménéven^Desserte Fret^48.11579^-4.08585
fr119^470000^Quimerch^Non exploitée^48.28245^-4.09581
freai^470000^Hanvec^Infrastructure^48.34159^-4.13528
fr121^470000^Daoulas^Non exploitée^48.35952^-4.23994
freag^470000^Dirinon^Desserte Fret-Desserte Voyageur-Infrastructure^48.39266^-4.28509
frxld^470000^Landerneau^Desserte Fret-Desserte Voyageur-Infrastructure^48.45347^-4.25644
frdwi^472000^La Brohinière^Desserte Fret-Desserte Voyageur-Infrastructure^48.21367^-2.11046
frxuy^473000^Auray^Desserte Fret-Desserte Voyageur-Infrastructure^47.68002^-3.00001
frecq^473000^Belz-Ploemel^Desserte Voyageur^47.65227^-3.07228
frecr^473000^Plouharnel-Carnac^Desserte Voyageur-Infrastructure^47.60374^-3.11863
frecl^473000^Les Sables-Blancs^Desserte Voyageur^47.57522^-3.1324
fr127^415000^Pleine-Fougères^Desserte Fret-Infrastructure^48.52988^-1.56565
freds^415000^Plerguer^Desserte Voyageur^48.53157^-1.85088
