#Nom de la gare^Type^Région^Latitude^Longitude
Abancourt^Gare Ferroviaire de Voyageurs^Picardie^49.68549^1.77386
Abbeville^Gare Ferroviaire de Voyageurs^Picardie^50.10197^1.82423
Ablon^Gare Ferroviaire de Voyageurs^Ile de France^48.72511^2.41896
Accolay^Gare Ferroviaire de Voyageurs^Bourgogne^47.65912^3.71302
Achères-Grand-Cormier^Gare Ferroviaire de Voyageurs^Ile de France^48.95535^2.09327
Achères-Ville^Gare Ferroviaire de Voyageurs^Ile de France^48.96934^2.07779
Acheux-Franleu^Gare Ferroviaire de Voyageurs^Picardie^50.08245^1.65704
Achicourt^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.27832^2.76324
Achiet^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.13234^2.78046
Agay^Gare Ferroviaire de Voyageurs^Provence-Alpes-CA^43.43164^6.85666
Agde^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^43.31754^3.46575
Agen^Gare Ferroviaire de Voyageurs^Aquitaine^44.20836^0.62031
Agonac^Gare Ferroviaire de Voyageurs^Aquitaine^45.28649^0.74857
Aguilcourt-Variscourt^Gare Ferroviaire de Voyageurs^Picardie^49.40793^3.97299
Aiguebelette-le-Lac^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.53634^5.81253
Aiguebelle^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.54351^6.30686
Aigueperse^Gare Ferroviaire de Voyageurs^Auvergne^46.01484^3.19788
Aigues-Mortes^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^43.57112^4.19112
Aigues-Vives^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^43.72672^4.19333
Aiguillon^Gare Ferroviaire de Voyageurs^Aquitaine^44.29873^0.33517
Aillevillers^Gare Ferroviaire de Voyageurs^Franche-Comté^47.91356^6.33659
Ailly-sur-Noye^Gare Ferroviaire de Voyageurs^Picardie^49.75458^2.36392
Ailly-sur-Somme^Gare Ferroviaire de Voyageurs^Picardie^49.92832^2.20053
Aimargues^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^43.67857^4.20821
Aime-La Plagne^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.55435^6.64860
Aiserey^Gare Ferroviaire de Voyageurs^Bourgogne^47.17011^5.15834
Aix-en-Provence^Gare Ferroviaire de Voyageurs^Provence-Alpes-CA^43.52324^5.44412
Aix-en-Provence-TGV^Gare Ferroviaire de Voyageurs^Provence-Alpes-CA^43.45527^5.31723
Aixe-sur-Vienne^Gare Ferroviaire de Voyageurs^Limousin^45.79601^1.14686
Aix-la-Marsalouse^Gare Ferroviaire de Voyageurs^Limousin^45.61402^2.39853
Aix-les-Bains-Le Revard^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.68947^5.90893
Alai^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.75174^4.77153
Albens^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.78613^5.94856
Albert^Gare Ferroviaire de Voyageurs^Picardie^50.00520^2.64312
Albertville^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.67340^6.38326
Albias^Gare Ferroviaire de Voyageurs^Midi-Pyrénées^44.09198^1.44489
Albi-Madeleine^Gare Ferroviaire de Voyageurs^Midi-Pyrénées^43.93819^2.14080
Albi-Ville^Gare Ferroviaire de Voyageurs^Midi-Pyrénées^43.92221^2.13725
Alençon^Gare Ferroviaire de Voyageurs^Basse-Normandie^48.43387^0.09904
Alès^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^44.12813^4.08478
Alet-les-Bains^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^42.99722^2.25185
Allassac^Gare Ferroviaire de Voyageurs^Limousin^45.25929^1.47299
Allenc^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^44.54168^3.66423
Alles-sur-Dordogne^Gare Ferroviaire de Voyageurs^Aquitaine^44.86527^0.86939
Alleyras^Gare Ferroviaire de Voyageurs^Auvergne^44.91837^3.67295
Allières^Gare Ferroviaire de Voyageurs^Rhône-Alpes^46.01673^4.49499
Alouette-France^Gare Ferroviaire de Voyageurs^Aquitaine^44.79330^-0.65986
Altkirch^Gare Ferroviaire de Voyageurs^Alsace^47.62710^7.23959
Amagne-Lucquy^Gare Ferroviaire de Voyageurs^Champagne-Ardenne^49.52370^4.47380
Ambazac^Gare Ferroviaire de Voyageurs^Limousin^45.95260^1.40591
Ambérieu^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.95395^5.34246
Ambilly^Gare Ferroviaire de Voyageurs^Rhône-Alpes^46.19467^6.22535
Amboise^Gare Ferroviaire de Voyageurs^Centre^47.42145^0.98112
Ambronay-Priay^Gare Ferroviaire de Voyageurs^Rhône-Alpes^46.01159^5.33816
Amiens^Gare Ferroviaire de Voyageurs^Picardie^49.88993^2.30982
Amifontaine^Gare Ferroviaire de Voyageurs^Picardie^49.48479^3.91056
Amilly-Ouerray^Gare Ferroviaire de Voyageurs^Centre^48.43813^1.38939
Amplepuis^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.97145^4.32579
Ancenis^Gare Ferroviaire de Voyageurs^Pays de la Loire^47.36947^-1.17759
Anchamps^Gare Ferroviaire de Voyageurs^Champagne-Ardenne^49.93038^4.67163
Anché-Voulon^Gare Ferroviaire de Voyageurs^Poitou-Charentes^46.34964^0.25021
Ancy-sur-Moselle^Gare Ferroviaire de Voyageurs^Lorraine^49.05727^6.06276
Andelot (Jura)^Gare Ferroviaire de Voyageurs^Franche-Comté^46.85967^5.92344
Andilly^Gare Ferroviaire de Voyageurs^Champagne-Ardenne^47.91292^5.50561
Andrésy^Gare Ferroviaire de Voyageurs^Ile de France^48.97428^2.04836
Andrézieux^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.52168^4.25526
Angers-Maître-École^Gare Ferroviaire de Voyageurs^Pays de la Loire^47.46691^-0.53255
Angers-St-Laud^Gare Ferroviaire de Voyageurs^Pays de la Loire^47.46444^-0.55694
Angerville^Gare Ferroviaire de Voyageurs^Ile de France^48.31141^2.00373
Angoulême^Gare Ferroviaire de Voyageurs^Poitou-Charentes^45.65394^0.16453
Angoulins-sur-Mer^Gare Ferroviaire de Voyageurs^Poitou-Charentes^46.10790^-1.11562
Anizy-Pinon^Gare Ferroviaire de Voyageurs^Picardie^49.49587^3.44843
Annappes^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.62293^3.14475
Annecy^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.90273^6.12255
