#CODE,NAME,GEOCODE lat,GEOCODE lng
8080101,AACHEN HBF,51.000000,9.000000
8080104,AALEN,51.000000,9.000000
8585375,AARAU,47.000000,8.000000
8731375,ABANCOURT,49.700000,1.766700
8731736,ABBEVILLE,50.100000,1.833300
8754526,ABLON,48.710000,2.410000
8719140,ABONCOURT,49.266700,6.350000
8774564,ABONDANCE,46.366700,6.483300
8740749,ABREST LES DOLLOTS,,
8776350,ABRIES,44.666700,6.616700
8768365,ACCOLAY,47.666700,3.716700
8767278,ACCOUS,42.983300,-0.600000
8738605,ACHERES GRAND CORMIER,48.960000,1000.000000
8738165,ACHERES VILLE,48.966700,2.066700
8731674,ACHEUX FRANLEU,50.066700,1.650000
8734215,ACHICOURT,50.266700,2.766700
8734204,ACHIET,50.133300,2.783300
8731645,ACHY,49.566700,1.950000
8721568,ADAMSWILLER,48.900000,7.200000
8749571,AEROGARE ORLY OUEST NOC,,
8752354,AEROGARE ORLY SUD NOCTI,,
9903148,AEROPORT CDG,,
8727146,AEROPORT CDG,48.710000,2.400000
8700147,AEROPORT CDG  TGV,49.000000,2.516700
8700147,AEROPORT CDG HALL F,49.000000,2.516700
8727146,AEROPORT CDG T,48.710000,2.400000
8727149,AEROPORT CDG TGV,49.000000,2.516700
8741441,AEROPORT ORLY SUD BUS,,
8775755,AGAY,43.433300,6.850000
8778127,AGDE,43.316700,3.466700
8758600,AGEN,44.200000,0.633300
8746553,AGEN CIMETIERE,,
8747671,AGEN DOT,,
8746242,AGEN LYCEE PALISSY,,
8746555,AGEN MAGNOLIAS,,
8746554,AGEN PAYOU,,
8744711,AGON COUTAINVILLE,49.050000,-1.433300
8759515,AGONAC,45.283300,0.750000
8762007,AGOS,43.033300,-0.066700
8778339,AGUESSAC,44.150000,3.100000
8717170,AGUILCOURT VARISCOURT,49.400000,3.900000
8744501,AHUN,46.083300,2.050000
8585025,AIGLE SUISSE,47.000000,8.000000
8775147,AIGLUN,44.066700,6.133300
8774142,AIGUEBELETTE LE LAC,45.533300,5.816700
8774125,AIGUEBELLE,45.533300,6.300000
8774171,AIGUEBLANCHE,45.500000,6.500000
8744708,AIGUEFONDE LAROUBINARIE,,
8773412,AIGUEPERSE,46.016700,3.200000
8777585,AIGUES MORTES,43.566700,4.191700
8777512,AIGUES VIVES,43.000000,1.883300
8713086,AIGUES VIVES,,
8776350,AIGUILLES,44.666700,6.616700
8758669,AIGUILLON LOT ET GARONN,44.300000,0.350000
8721562,AILLEVILLE,48.250000,4.683300
8718562,AILLEVILLERS,47.916700,6.333300
8774100,AILLON LE VIEUX,45.566700,5.933300
8731322,AILLY SUR NOYE,49.750000,2.366700
8731309,AILLY SUR SOMME,49.916700,2.200000
8777583,AIMARGUES,43.683300,4.200000
8774176,AIME,45.550000,6.650000
8774176,AIME LA PLAGNE,45.550000,6.650000
8757633,AINAY LE VIEIL,46.666700,2.550000
8774512,AIRANS,46.166700,5.916700
8767104,AIRE SUR L ADOUR,43.700000,-0.266700
8746477,AIRE SUR L ADOUR OT,,
8744700,AIREL,49.116700,-1.100000
8585137,AIROLO,47.000000,8.000000
8748713,AIRVAULT CENTRE,46.833300,-0.150000
8771363,AISEREY,47.166700,5.166700
8771314,AISY,47.650000,4.216700
8774124,AITON BOURGNEUF,45.566700,6.250000
9900011,AIX EN PROVENCE,,
8754179,AIX EN PROVENCE GARE RO,,
8731901,AIX EN PROVENCE TGV,43.533300,5.433300
8775140,AIX EN PROVENCE VILLE,43.533300,5.433300
8080101,AIX LA CHAPELLE,51.000000,9.000000
8759429,AIX LA MARSALOUSE,45.616700,2.383300
8774113,AIX LES BAINS LE REVARD,45.700000,5.916700
8759266,AIXE SUR VIENNE,45.800000,1.133300
8786081,AJACCIO GARE,41.916700,8.733300
8741780,AJAIN,,
8772274,ALAI,45.733300,4.766700
8383301,ALASSIO,42.830000,12.830000
8733692,ALBA PONT DES SCEAUTRES,44.560000,4.600000
8742083,ALBA RUINES ROMAINES,,
7171605,ALBACETE,40.000000,-4.000000
8744277,ALBAN CENTRE,,
8761375,ALBAS LOT,44.466700,1.233300
8716871,ALBAS RIVIERE BASSE,,
8716872,ALBAS RIVIERE HAUTE,,
8383300,ALBENGA,42.830000,12.830000
8774611,ALBENS,45.783300,5.950000
8731307,ALBERT,50.000000,2.650000
8774164,ALBERTVILLE,45.683300,6.383300
8744035,ALBI HALTE ROUTIERE,,
8761519,ALBI MADELEINE,43.933300,2.150000
8744283,ALBI MONTPLAISIR,,
8761500,ALBI VILLE,43.933300,2.150000
8761339,ALBIAS,44.083300,1.450000
8713908,ALBIAS ABRI BUS,,
8774232,ALBIEZ LE VIEUX,45.283300,6.350000
8772126,ALBIGNY NEUVILLE,45.916700,4.883300
8761556,ALBINE,43.450000,2.533300
8717721,ALBINE CROIST N D,,
7171657,ALDEA AMPOSTA TORTOSA,40.000000,-4.000000
8744471,ALENCON,48.433300,0.083300
8777528,ALES,44.133300,4.083300
8383003,ALESSANDRIA,42.830000,12.830000
8761518,ALET LES BAINS,43.000000,2.266700
8776190,ALGAJOLA,42.616700,8.866700
7171554,ALGESIRAS,40.000000,-4.000000
7171609,ALICANTE,40.000000,-4.000000
8764561,ALLANCHE,45.233300,2.933300
8759423,ALLASSAC,45.250000,1.483300
8711387,ALLEE DE LA TOUR RDV,1000.000000,1000.000000
8773466,ALLEGRE,45.200000,3.700000
8774700,ALLEMOND,45.166700,5.716700
8778365,ALLENC,44.533300,3.666700
8758448,ALLES SUR DORDOGNE,44.850000,0.866700
8774700,ALLEVARD,45.166700,5.716700
8776955,ALLEX,44.766700,4.916700
8773188,ALLEYRAS,44.900000,3.683300
8776500,ALLOS,43.950000,4.816700
8700369,ALLY,45.158300,3.308300
8758179,ALOUETTE FRANCE,44.800000,1000.000000
8774700,ALPE D HUEZ,45.166700,5.716700
8774700,ALPE DU GRAND SERRE,45.166700,5.716700
7171114,ALSASUA,40.000000,-4.000000
8721383,ALTECKENDORF,48.783300,7.600000
8718223,ALTKIRCH,47.616700,7.250000
8711751,ALZING,49.283300,6.550000
8744349,ALZONNE D,,
8717226,AMAGNE LUCQUY,49.516700,4.500000
8311744,AMANTEA,,
8773490,AMAZY,47.383300,3.583300
8759231,AMBAZAC,45.950000,1.400000
8774371,AMBERIEU EN BUGEY,46.000000,5.416700
8773457,AMBERT,45.550000,3.750000
8739575,AMBERT VILLE,45.550000,1000.000000
8774203,AMBILLY,46.200000,6.250000
8757434,AMBOISE,47.416700,0.983300
8747863,AMBRIERES,48.633300,4.833300
8774314,AMBRONAY PRIAY,46.000000,5.350000
8738127,AMECOURT TALMONTIER,49.383300,1.733300
8778400,AMELIE LES BAINS,42.683300,2.883300
8711717,AMENONCOURT,48.633300,6.783300
8484055,AMERSFOORT,52.500000,5.750000
8731387,AMIENS,49.900000,2.300000
8752242,AMIENS GARE ROUT L,,
8717174,AMIFONTAINE,49.483300,3.916700
8739420,AMILLY OUERRAY,48.450000,1.400000
8711740,AMONCOURT,47.733300,6.066700
8774566,AMPHION,46.383300,6.550000
8771991,AMPILLY LE SEC,47.800000,4.516700
8772103,AMPLEPUIS,45.983300,4.333300
8484057,AMSTERDAM AMSTEL,52.500000,5.750000
8484058,AMSTERDAM CENTRAL ST,52.500000,5.750000
8181130,AMSTETTEN,47.200000,13.200000
8748119,ANCENIS,47.366700,-1.166700
8746288,ANCENIS AEROPOLE,,
8717285,ANCHAMPS,49.933300,4.683300
8757533,ANCHE VOULON,46.350000,0.266700
8767799,ANCIZAN,42.883300,0.333300
8383400,ANCONA,42.830000,12.830000
8771316,ANCY LE FRANC YONNE,47.766700,4.166700
8719241,ANCY SUR MOSELLE,49.050000,6.066700
8776112,ANDANCETTE,45.233300,4.800000
8778316,ANDELAT,45.066700,3.066700
8771510,ANDELOT JURA,46.850000,5.933300
8080112,ANDERNACH,,
8714236,ANDILLY HAUTE MARNE,47.916700,5.516700
8746498,ANDIRAN,,
8761151,ANDORRE L HOSPITALET,42.000000,1.000000
8739966,ANDORRE LA VIEILLE,1000.000000,1000.000000
8767161,ANDREST,43.316700,0.066700
8738149,ANDRESY,48.983300,2.066700
8772640,ANDREZIEUX,45.000000,4.000000
8748400,ANGERS,47.466700,-0.550000
8746289,ANGERS CENTRE,,
8748404,ANGERS MAITRE ECOLE,47.466700,-0.550000
8748400,ANGERS ST LAUD,47.466700,-0.550000
8746290,ANGERS UNIVERSITE,,
8754309,ANGERVILLE,48.266700,2.016700
8733297,ANGERVILLE SALLE DES F,48.316700,2.000000
8762002,ANGLARS JUILLAC,44.483300,1.216700
8761313,ANGLARS NOZAC,,
8774583,ANGLEFORT,45.916700,5.808300
8767300,ANGLET,43.483300,-1.483300
8758300,ANGOULEME,45.650000,0.150000
8743734,ANGOULEME GARE ROUTIERE,,
8748510,ANGOULINS SUR MER,45.933300,-0.883300
8729656,ANIZY PINON,46.980000,1000.000000
8728685,ANNAPPES,50.683300,3.141700
8774600,ANNECY,45.900000,6.116700
8774549,ANNEMASSE,46.200000,6.250000
8741513,ANNEVILLE SUR SCIE,49.833300,1.083300
8736515,ANNONAY GARE,45.233300,4.666700
8776127,ANNONAY GARE ROUTE,45.233300,4.666700
8733690,ANNONAY ZI,45.233300,4.666700
8775948,ANNOT,43.966700,6.666700
8729505,ANOR,50.000000,4.100000
8761120,ANOS,43.400000,-0.283300
8717006,ANOS,,
8711731,ANROSEY,47.833300,5.666700
8772132,ANSE,45.916700,4.650000
8728721,ANSTAING,50.600000,3.200000
8775756,ANTHEOR CAP ROUX,43.433300,6.883300
8775767,ANTIBES,43.583300,7.116700
8711022,ANTIGNAC,45.366700,2.550000
8761171,ANTIGNAC HTE GARONNE,42.833300,0.600000
8762014,ANTIST,43.116700,0.133300
8775875,ANTONY,48.750000,2.300000
8732091,ANTULLY,46.900000,4.416700
8888210,ANVERS,50.830000,4.000000
8731725,ANVIN,50.466700,2.183300
8719138,ANZELING,49.266700,6.466700
8740557,ANZELING CARREFOUR,49.266700,6.466700
8383022,AOSTA,,
8776179,AOUSTE SUR SYE,44.716700,5.050000
8719164,APACH MOSELLE,49.450000,6.366700
8729645,APPILLY,49.583300,3.116700
5353002,ARAD,,
8717479,ARAGNOUET MAIRIE,,
8767797,ARAGNOUET PIAU,42.900000,0.366700
7171173,ARANDA DUERO MONTECILLO,40.000000,-4.000000
8758272,ARBANATS,44.666700,-0.400000
8774533,ARBERE,46.366700,6.133300
8771815,ARBOIS JURA,46.900000,5.766700
8771884,ARC ET SENANS,47.033300,5.766700
8714330,ARC LES GRAY,47.450000,5.583300
8758266,ARCACHON,44.658900,-1.163600
8744268,ARCAMBAL MAIRIE,,
8757510,ARCAY,,
8714441,ARCHES,48.116700,6.533300
8775867,ARCUEIL CACHAN,48.800000,2.333300
8768368,ARCY SUR CURE,47.600000,3.750000
8774164,ARECHES,45.683300,6.383300
8767147,ARENGOSSE,44.000000,-0.783300
8767272,ARETTE LA PIERRE ST M,43.150000,-0.700000
8383382,AREZZO,42.830000,12.830000
8767174,ARGELES GAZOST,43.016700,-0.100000
8717693,ARGELES GAZOST CORDEE,,
8778423,ARGELES SUR MER,42.550000,3.016700
8731452,ARGENT SUR SAULDRE,47.550000,2.450000
8744453,ARGENTAN,48.750000,-0.016700
8738184,ARGENTEUIL,48.950000,2.250000
8774685,ARGENTIERE HAUTE SAVOIE,45.980000,1000.000000
8774127,ARGENTINE,45.500000,6.316700
8720156,ARGENTON GARE ROUTIERE,46.583300,1.516700
8759712,ARGENTON SUR CREUSE,46.433300,1.833300
8747473,ARGOL,48.250000,-4.316700
8773459,ARLANC,45.416700,3.733300
8775365,ARLES,43.666700,4.633300
8734542,ARLEUX,50.283300,3.100000
8888660,ARLON,50.830000,4.000000
8728614,ARMENTIERES,50.683300,2.883300
8739654,ARNAGE,47.933300,0.183300
8736033,ARNAGE CENTRE,47.933300,0.183300
8728112,ARNEKE,50.833300,2.416700
8484071,ARNHEM,52.500000,5.750000
8383102,ARONA,42.830000,12.830000
8754546,ARPAJON ESSONNE,48.583300,2.250000
8741504,ARQUES LA BATAILLE,49.883300,1.133300
8719215,ARRAINCOURT,48.966700,6.550000
8734201,ARRAS,50.283300,2.783300
8767797,ARREAU,42.900000,0.366700
8767133,ARRENS MARSOUS,43.216700,-0.133300
8740750,ARREST USINE MELIUS,,
8744406,ARROMANCHES,49.266700,-0.700000
8746516,ARROS,,
8739448,ARROU,48.100000,1.116700
8732184,ARS EN RE,46.208300,-1.516700
8719240,ARS SUR MOSELLE,49.000000,6.066700
8721570,ARSONVAL,48.266700,4.650000
8754305,ARTENAY,48.083300,1.883300
8585004,ARTH GOLDAU,47.000000,8.000000
8744398,ARTIGAT MMENT AUX MORTS,,
8744887,ARTIGUELOUTAN RN,,
8767807,ARTIGUES,,
8712405,ARTIGUES,,
8767221,ARTIX,43.400000,-0.616700
8773425,ARVANT,45.366700,3.316700
8776350,ARVIEUX,44.666700,6.616700
8747660,ARZON,47.666700,-2.750000
8721515,ARZVILLER,48.733300,7.216700
8746362,ARZVILLER FONTAINES,,
8751789,ASASP,43.000000,-1.000000
8080118,ASCHAFFENBURG HBF,51.000000,9.000000
8728686,ASCQ,50.683300,3.141700
7070512,ASHFORD,51.500000,-0.117000
8738113,ASNIERES SUR SEINE,48.945000,2.248000
8769664,ASNOIS,47.400000,3.600000
8721537,ASPACH LE BAS,47.766700,7.150000
8767414,ASPACH LE HAUT,47.783300,7.133300
8776325,ASPRES SUR BUECH,44.516700,5.750000
8767216,ASSAT,43.250000,-0.300000
8761307,ASSIER,44.766700,1.816700
8716547,ASSIER VILLE,,
8383404,ASSISI,42.830000,12.830000
8758632,ASTAFFORT,44.066700,0.666700
8727146,ASTERIX,48.710000,2.400000
8383004,ASTI,42.830000,12.830000
8746491,ASTIS,,
8888860,ATH,50.830000,4.000000
8729632,ATHIES SOUS LAON,49.566700,3.683300
8754525,ATHIS MONS,48.716700,2.400000
8749572,ATHIS MONS A BRIAND NOC,,
8181149,ATTNANG PUCHHEIM,47.200000,13.200000
8775175,AUBAGNE,43.283300,5.566700
8759446,AUBAZINE ST HILAIRE,45.216700,1.650000
8739167,AUBE CENTRE,49.033300,6.333300
8719210,AUBECOURT,49.016700,6.400000
8776475,AUBENAS GARE,44.616700,4.383300
8753509,AUBENAS GARE ROUTIERE,,
8733708,AUBENAS PLACE LA PAIX,44.616700,4.383300
8742273,AUBENAS PONT D AUBENAS,,
8775859,AUBER,48.890000,2.302000
8738673,AUBERGENVILLE,48.966700,1.850000
8727130,AUBERVILLIERS,48.916700,2.383300
8746469,AUBIAC CHATEAU,,
8773411,AUBIAT,45.978500,3.169300
8749123,AUBIE ST ANTOINE,45.016700,-0.400000
8761176,AUBIET,43.650000,0.800000
8716604,AUBIET CREDIT AGRICOLE,,
8724023,AUBIGNAS PIGNATELLES,,
8739657,AUBIGNE RACAN,47.683300,0.266700
8734544,AUBIGNY AU BAC,50.266700,3.166700
8734224,AUBIGNY EN ARTOIS,50.350000,2.600000
8731451,AUBIGNY SUR NERE,47.550000,2.450000
8761322,AUBIN,44.533300,2.250000
8744036,AUBIN CERONS D D,,
8731660,AUBIN ST VAAST,50.400000,1.983300
8719168,AUBOUE,49.216700,5.983300
8717212,AUBRIVES,50.100000,4.766700
8759782,AUBUSSON,46.066700,2.433300
8741778,AUBUSSON GARE ROUTIERE,,
8744778,AUCAMVILLE GARE ROUTIER,,
8761174,AUCH,43.650000,0.583300
8746238,AUCH GROUPE SCOLAIRE,,
8746237,AUCH LE GARROS,,
8713438,AUCH LE SEILHAN,43.050000,0.566700
8745052,AUCH MAIRIE,,
8716819,AUCH ZA LAMOTHE,,
8731723,AUCHY LES HESDIN,50.400000,2.100000
8747409,AUDIERNE,48.000000,-4.100000
8744405,AUDRIEU,49.200000,-0.600000
8728142,AUDRUICQ,50.850000,1.983300
8719435,AUDUN LE ROMAN,49.266700,5.766700
8740600,AUDUN LE ROMAN H DE VIL,49.366700,5.883300
8741515,AUFFAY,49.750000,1.266700
8771390,AUGERANS,47.016700,5.583300
8080120,AUGSBURG HBF,51.000000,9.000000
8768360,AUGY VAUX,47.766700,3.616700
8080122,AULENDORF,51.000000,9.000000
8756242,AULNAT AEROPORT,,
8727141,AULNAY SOUS BOIS,48.950000,2.516700
8729560,AULNOYE AYMERIES,50.283300,3.816700
8732131,AULON,46.083300,1.700000
8731752,AULT,50.083300,1.500000
8723215,AULUS LES BAINS,42.800000,1.333300
8731376,AUMALE,49.866700,1.800000
8778326,AUMONT AUBRAC,44.716700,3.283300
8754565,AUNEAU,48.433300,1.816700
8747620,AURAY,47.666700,-2.983300
8772676,AUREC,45.366700,4.200000
8761702,AUREILHAN,43.250000,0.100000
8746490,AURIAC HOTEL,,
8764500,AURILLAC,44.916700,2.450000
8774700,AURIS EN OISANS,45.166700,5.716700
8775605,AURON,43.700000,7.250000
8774200,AUSSOIS,45.200000,6.666700
9900001,AUSTERLITZ,,
8761138,AUTERIVE,43.316700,1.600000
8744319,AUTERIVE  D,,
8718553,AUTET,47.550000,5.700000
8774700,AUTRANS,45.166700,5.716700
8711745,AUTREVILLE,48.483300,5.850000
8714475,AUTREY,48.300000,6.683300
8769457,AUTUN,47.200000,4.166700
8753642,AUTUN LYCEE TECHNIQUE,,
8747850,AUTUN ST JEAN,,
8727654,AUVERS SUR OISE,49.066700,2.166700
8768357,AUXERRE ST GERVAIS,47.666700,3.716700
8711711,AUXON EGLISE,48.100000,3.916700
8742976,AUXON ROUTE NATIONALE,,
8771334,AUXONNE,47.200000,5.383300
8764184,AUZANCES,46.016700,2.500000
8744369,AUZEVILLE TOLOSAN LEP,,
8761324,AUZITS AUSSIBALS,44.500000,2.333300
8730469,AVAIL,46.950000,2.000000
8768378,AVALLON,47.566700,4.016700
9494025,AVEIRO,39.500000,-8.000000
8717157,AVENAY,49.066700,4.050000
8746280,AVENSAC,,
8738103,AVENUE FOCH,48.866700,2.333300
8738104,AVENUE HENRI MARTIN,48.866700,2.333300
8754320,AVENUE PDT KENNEDY,48.866700,2.333300
8383504,AVERSA,42.830000,12.830000
8729572,AVESNELLES,50.116700,3.950000
8729573,AVESNES,50.116700,3.933300
8747123,AVESSAC,47.650000,-1.983300
9900010,AVIGNON,,
8776500,AVIGNON CENTRE,43.950000,4.816700
8776502,AVIGNON SUD,43.950000,4.816700
8731896,AVIGNON TGV,43.950000,4.816700
8761601,AVIGNONET,44.950000,5.683300
8717762,AVIGNONET MAIRIE,,
7171104,AVILA,40.000000,-4.000000
8727826,AVILLY ST LEONARD,49.200000,2.533300
8734258,AVION,50.400000,2.833300
8739638,AVOISE,47.866700,-0.200000
8757643,AVORD,46.950000,2.550000
8774564,AVORIAZ,46.366700,6.483300
8771855,AVOUDREY,47.133300,6.433300
8744851,AVRANCHES,48.683300,-1.366700
8731329,AVRECHY,49.450000,2.433300
8769172,AVREE,46.816700,3.866700
8740704,AVRICOURT CAFE ST NICOL,48.650000,6.800000
8740705,AVRICOURT RUE LORRAINE,48.650000,6.800000
8761153,AX BONASCRE,42.716700,1.833300
8761153,AX LES THERMES,42.716700,1.833300
8744171,AX LES THERMES CENTRE,,
8717156,AY,49.066700,4.166700
8744361,AYGUESVIVES TICAILLE,,
8751900,AYRON,46.666700,0.066700
8743780,AYTRE PLAGE,,
8762008,AYZAC,43.016700,-0.100000
8757163,AZAY LE RIDEAU,47.266700,0.466700
8711029,AZAY LE RIDEAU MAIRIE,47.266700,0.466700
8757444,AZAY SUR CHER,47.350000,0.850000
8711533,AZAY SUR INDRE,47.200000,0.950000
8714140,AZERAILLES,48.483300,6.700000
8744754,BABEAU BOULDOUX RN,,
8714141,BACCARAT,48.533300,6.833300
8080152,BAD BREISIG,,
8585053,BAD RAGAZ,47.000000,8.000000
8006006,BAD SCHANDAU,,
8080139,BADEN BADEN,51.000000,9.000000
8585060,BADEN SBB,47.000000,8.000000
8717035,BAGIRY,,
8761360,BAGNAC,44.660000,1000.000000
8768419,BAGNEAUX SUR LOING,48.233300,2.700000
8767157,BAGNERES DE BIGORRE,43.116700,0.133300
8717531,BAGNERES DE BIGORRE LYC,,
8775868,BAGNEUX,48.800000,2.300000
8735248,BAGNOLES DE L ORNE O T,48.566700,-0.416700
8744933,BAGNOLES ORNE STE MAD,48.566700,-0.416700
8778364,BAGNOLS CHADENET,44.500000,3.666700
8777345,BAILLARGUES,43.700000,3.883300
8739441,BAILLEAU LE PIN,48.366700,1.333300
8728617,BAILLEUL NORD,50.733300,2.733300
8734259,BAILLEUL SIR BERTHOULT,50.333300,2.850000
8714414,BAINS LES BAINS,48.000000,6.266700
8714153,BAINVILLE,48.583300,6.083300
8728687,BAISIEUX,50.600000,3.200000
8746558,BAJAMONT,,
8731356,BALAGNY ST EPIN,49.300000,2.333300
8747165,BALAZE CENTRE,48.166700,-1.183300
8742082,BALAZUC RD,,
8772686,BALBIGNY,45.816700,4.183300
8585010,BALE,47.000000,7.500000
8718793,BALE ST JEAN,1000.000000,1000.000000
8714340,BALESMES SUR MARNE,47.816700,5.383300
8757160,BALLAN,47.333300,0.616700
8768143,BALLANCOURT,48.500000,2.350000
8718107,BALLERSDORF,47.633300,7.166700
8744215,BALMA GRAMONT METRO,,
8774639,BALMES ARACHES,46.016700,6.616700
7161303,BALSICAS MAR MENOR,40.000000,-4.000000
8711186,BALSIEGES,44.483300,3.466700
8080164,BAMBERG,51.000000,9.000000
8778332,BANASSAC LA CANOURGUE,44.433300,3.200000
8775522,BANDOL,43.133300,5.750000
8747418,BANNALEC,47.933300,-3.700000
8731490,BANNAY,47.383300,2.883300
8721329,BANNSTEIN,49.016700,7.500000
8718284,BANTZENHEIM,,
8778429,BANYULS SUR MER,42.483300,3.133300
8717504,BAR LE DUC,48.783300,5.166700
8711829,BAR SUR AUBE,48.250000,4.683300
8721560,BAR SUR AUBE HOPITAL,48.233300,4.716700
8739873,BAR SUR AUBE HTL VILLE,1000.000000,1000.000000
8721561,BAR SUR AUBE PISCINE,48.230000,1000.000000
8744258,BARAQUE DE COMBROUZE,,
8744256,BARAQUE DE CUSSAN,,
8744257,BARAQUE DE GIRET,,
8744259,BARAQUE LORTAL,,
8745075,BARAQUETTE,,
8761575,BARAQUEVILLE CARCE PEY,44.000000,2.000000
8744255,BARAQUEVILLE LE LAC,,
8744172,BARAQUEVILLE PLACE CENT,,
8746291,BARBATRE RD PT DU GOIS,,
8717602,BARBAZAN DEBAT EGLISE,,
8776530,BARBENTANE ROGNONAS,43.900000,4.750000
8713952,BARBEREY CENTRE COMM,48.333300,4.033300
8713953,BARBEREY ROUTE DE MERY,48.333300,4.033300
8749177,BARBEZIEUX,45.483300,-0.050000
8743733,BARBEZIEUX PISCINE,,
8713436,BARBONVIELLE,1000.000000,1000.000000
8751611,BARBOTAN LES THERMES,,
8778400,BARCARES,42.683300,2.883300
8383707,BARCELLONA C,42.830000,12.830000
7171762,BARCELONA FRANCIA,40.000000,-4.000000
7171719,BARCELONA PASEO GRACIA,40.000000,-4.000000
7171720,BARCELONA SANTS,40.000000,-4.000000
9900012,BARCELONE,,
8767105,BARCELONNE DU GERS,43.700000,-0.233300
8776300,BARCELONNETTE,44.566700,6.083300
8776192,BARCHETTA,42.483300,9.383300
8747572,BARD LE REGULIER,,
8383005,BARDONECCHIA STAZIONE,42.830000,12.830000
8762017,BAREGES,42.900000,0.066700
8741126,BARENTIN,49.583300,1.050000
8729729,BARENTON BUGNY,49.633300,3.650000
8733236,BARENTON CEL,49.650000,3.633300
8733237,BARENTON SUR SERRE,45.550000,1000.000000
8744728,BARFLEUR,49.416700,-1.383300
8714218,BARGES,47.866700,5.850000
8383666,BARI CENTRALE,42.830000,12.830000
8711746,BARISEY AU PLAIN,48.533300,5.850000
8714175,BARISEY LA COTE,48.550000,5.850000
8740571,BARISEY LA COTE MAIRIE,48.550000,5.850000
8778356,BARJAC,44.500000,3.400000
8769453,BARNAY,47.083300,4.333300
8719265,BARONCOURT,49.266700,5.766700
8719311,BARONVILLE,48.933300,6.600000
8721424,BARR,48.400000,7.450000
8775943,BARREME,43.950000,6.366700
8758275,BARSAC,44.616700,-0.316700
8759218,BARSANGES,45.533300,2.166700
8718211,BARTENHEIM,47.633300,7.466700
8718420,BAS EVETTE,47.700000,1000.000000
8772677,BAS MONISTROL,45.083300,4.166700
8080165,BASEL BAD BF,,
8776231,BASSANESE,42.700000,9.450000
8719160,BASSE HAM,49.383300,6.250000
8758185,BASSENS,44.900000,-0.516700
8757172,BASSES SAMMARCOLLES,47.033300,0.116700
8721529,BASSING,48.866700,6.800000
8786082,BASTIA,42.700000,9.450000
8748177,BATZ SUR MER,47.283300,-2.483300
8743013,BAUD,,
8719224,BAUDRECOURT,48.966700,6.450000
8748783,BAUGE,47.541700,-0.100000
8711739,BAULAY,47.783300,6.016700
8757415,BAULE,47.816700,1.666700
8771846,BAUME LES DAMES,47.500000,6.450000
8006099,BAUTZEN,,
8734528,BAUVIN PROVIN,50.516700,2.883300
8717513,BAYARD,48.550000,1000.000000
8727990,BAYEL EGLISE,48.200000,4.783300
8744406,BAYEUX,49.266700,-0.700000
8714121,BAYON,48.483300,6.316700
8767300,BAYONNE,43.483300,-1.483300
8717146,BAZANCOURT,,
8717231,BAZEILLES,49.666700,4.983300
8767160,BAZET,43.300000,0.083300
8761172,BAZIEGE,43.383300,1.500000
8717765,BAZIEGE VILLAGE,,
8717134,BAZOCHES,49.300000,3.633300
8756478,BAZOCHES NIEVRE,,
8767801,BAZUS,43.733300,1.516700
8769646,BEARD,46.866700,3.333300
8753354,BEARD BOURG,,
8731761,BEAU MARAIS,50.950000,1000.000000
8777502,BEAUCAIRE,43.800000,4.633300
8776152,BEAUCHASTEL CENTRE,44.833300,4.800000
8774723,BEAUCROISSANT,45.333300,5.466700
8774164,BEAUFORT,45.683300,6.383300
8757416,BEAUGENCY,47.783300,1.633300
8775637,BEAULIEU SUR MER,43.700000,7.333300
8761163,BEAUMONT DE LOMAGNE,44.000000,0.916700
8738718,BEAUMONT LE ROGER,49.066700,0.816700
8744688,BEAUMONT LEZE VIGNOLLES,,
8771354,BEAUNE,47.033300,4.833300
8744217,BEAUPUY  CLINIQUED,,
8744216,BEAUPUY  MAIRIE,,
8731719,BEAURAINVILLE,50.416700,1.900000
