#__key__    name    lat    lng
MLC    Mc Alester Regional Airport    34.882403    -95.783463
NDP    PENSACOLA/FL/US:ELLYSON NAS    30.47    -87.34
GEG@1    Spokane    47.62    -117.5
NDS    Sandstone Airport    -28    119.3
SPX    HOUSTON/TX/US:SPACELAND    29.52    -95.24
SPY    San Pedro    4.746717    -6.660817
SPZ    Springdale Municipal Airport    36.18    -94.13
NDR    Nador    35.2    -2.917
SPP    Menongue Airport    -14.657583    17.719833
NDU    Rundu Airport    -17.956461    19.719439
